DATE,ID,SONG,ARTIST,ALBUM
2021-07-30 : 21,21,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-07-30 : 22,22,On Go (feat. Polo G),"
 
 Sheff G 
 ","
 

 On Go (feat. Polo G) - Single


 "
2021-07-30 : 23,23,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-07-30 : 24,24,My Shit,"
 
 Bizzy Banks 
 ","
 

 Same Energy


 "
2021-07-30 : 25,25,WHOLE LOTTA MONEY (Remix),"
 
 BIA、 ニッキー・ミナージュ 
 ","
 

 WHOLE LOTTA MONEY (Remix) - Single


 "
2021-07-30 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-07-30 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-07-30 : 5,5,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-07-30 : 6,6,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-30 : 7,7,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-30 : 8,8,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-30 : 9,9,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-07-31 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-07-31 : 10,10,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-07-31 : 11,11,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-07-31 : 12,12,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-07-31 : 13,13,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-07-31 : 14,14,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-07-31 : 15,15,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-07-31 : 16,16,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-07-31 : 17,17,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-07-31 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-07-31 : 19,19,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-07-31 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-07-31 : 20,20,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-07-31 : 21,21,On Go (feat. Polo G),"
 
 Sheff G 
 ","
 

 On Go (feat. Polo G) - Single


 "
2021-07-31 : 22,22,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-07-31 : 23,23,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-07-31 : 24,24,My Shit,"
 
 Bizzy Banks 
 ","
 

 Same Energy


 "
2021-07-31 : 25,25,WHOLE LOTTA MONEY (Remix),"
 
 BIA、 ニッキー・ミナージュ 
 ","
 

 WHOLE LOTTA MONEY (Remix) - Single


 "
2021-07-31 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-07-31 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-07-31 : 5,5,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-07-31 : 6,6,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-31 : 7,7,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-07-31 : 8,8,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-07-31 : 9,9,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-01 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-08-01 : 10,10,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-08-01 : 11,11,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-08-01 : 12,12,ZAZA,"
 
 Stunna Gambino 
 ","
 

 ZAZA - Single


 "
2021-08-01 : 13,13,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-08-01 : 14,14,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-08-01 : 15,15,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-08-01 : 16,16,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-08-01 : 17,17,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-08-01 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-08-01 : 19,19,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-08-01 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-08-01 : 20,20,On Go (feat. Polo G),"
 
 Sheff G 
 ","
 

 On Go (feat. Polo G) - Single


 "
2021-08-01 : 21,21,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-08-01 : 22,22,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-08-01 : 23,23,Happier Than Ever,"
 
 ビリー・アイリッシュ 
 ","
 

 Happier Than Ever


 "
2021-08-01 : 24,24,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-08-01 : 25,25,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-08-01 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-08-01 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-08-01 : 5,5,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-08-01 : 6,6,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-01 : 7,7,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-08-01 : 8,8,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-01 : 9,9,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-02 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-08-02 : 10,10,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-02 : 11,11,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-08-02 : 12,12,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-08-02 : 13,13,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-08-02 : 14,14,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-08-02 : 15,15,Happier Than Ever,"
 
 ビリー・アイリッシュ 
 ","
 

 Happier Than Ever


 "
2021-08-02 : 16,16,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-08-02 : 17,17,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-08-02 : 18,18,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-08-02 : 19,19,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-08-02 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-08-02 : 20,20,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-08-02 : 21,21,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-08-02 : 22,22,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-08-02 : 23,23,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-08-02 : 24,24,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-08-02 : 25,25,On Go (feat. Polo G),"
 
 Sheff G 
 ","
 

 On Go (feat. Polo G) - Single


 "
2021-08-02 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-08-02 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-08-02 : 5,5,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-02 : 6,6,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-08-02 : 7,7,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-08-02 : 8,8,ZAZA,"
 
 Stunna Gambino 
 ","
 

 ZAZA - Single


 "
2021-08-02 : 9,9,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-03 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-08-03 : 10,10,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-08-03 : 11,11,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-08-03 : 12,12,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-03 : 13,13,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-08-03 : 14,14,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-08-03 : 15,15,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-08-03 : 16,16,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-08-03 : 17,17,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-08-03 : 18,18,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-08-03 : 19,19,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-03 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-08-03 : 20,20,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-08-03 : 21,21,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-08-03 : 22,22,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-08-03 : 23,23,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-08-03 : 24,24,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-08-03 : 25,25,DÁKITI,"
 
 バッド・バニー、 ジャイ・コルテッツ 
 ","
 

 EL ÚLTIMO TOUR DEL MUNDO


 "
2021-08-03 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-08-03 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-08-03 : 5,5,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-08-03 : 6,6,Happier Than Ever,"
 
 ビリー・アイリッシュ 
 ","
 

 Happier Than Ever


 "
2021-08-03 : 7,7,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-03 : 8,8,ZAZA,"
 
 Stunna Gambino 
 ","
 

 ZAZA - Single


 "
2021-08-03 : 9,9,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-08-04 : 1,1,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-08-04 : 10,10,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-04 : 11,11,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-08-04 : 12,12,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-08-04 : 13,13,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-08-04 : 14,14,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-08-04 : 15,15,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-08-04 : 16,16,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-08-04 : 17,17,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-08-04 : 18,18,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-04 : 19,19,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-08-04 : 2,2,Pepas,"
 
 Farruko 
 ","
 

 Pepas - Single


 "
2021-08-04 : 20,20,Wild Side (feat. Cardi B),"
 
 ノーマニ 
 ","
 

 Wild Side (feat. Cardi B) - Single


 "
2021-08-04 : 21,21,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
2021-08-04 : 22,22,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-08-04 : 23,23,Tell The Vision (feat. Kanye West & Pusha T),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-04 : 24,24,Hats Off,"
 
 リル・ベイビー、 Lil Durk、 トラヴィス・スコット 
 ","
 

 The Voice of the Heroes


 "
2021-08-04 : 25,25,DÁKITI,"
 
 バッド・バニー、 ジャイ・コルテッツ 
 ","
 

 EL ÚLTIMO TOUR DEL MUNDO


 "
2021-08-04 : 3,3,STAY,"
 
 ザ・キッド・ラロイ、 ジャスティン・ビーバー 
 ","
 

 STAY - Single


 "
2021-08-04 : 4,4,Essence (feat. Tems),"
 
 WizKid 
 ","
 

 Made In Lagos


 "
2021-08-04 : 5,5,Happier Than Ever,"
 
 ビリー・アイリッシュ 
 ","
 

 Happier Than Ever


 "
2021-08-04 : 6,6,Yonaguni,"
 
 バッド・バニー 
 ","
 

 Yonaguni - Single


 "
2021-08-04 : 7,7,INDUSTRY BABY,"
 
 LIL NAS X、 Jack Harlow 
 ","
 

 INDUSTRY BABY - Single


 "
2021-08-04 : 8,8,ZAZA,"
 
 Stunna Gambino 
 ","
 

 ZAZA - Single


 "
2021-08-04 : 9,9,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-08-05 : 1,1,Volví,"
 
 Aventura、 バッド・バニー 
 ","
 

 Volví - Single


 "
2021-08-05 : 10,10,2055,"
 
 Sleepy Hallow 
 ","
 

 2055 - Single


 "
2021-08-05 : 11,11,24 Hours (feat. Lil Durk),"
 
 エイ・ブギー・ウィット・ダ・フーディ 
 ","
 

 24 Hours (feat. Lil Durk) - Single


 "
2021-08-05 : 12,12,Todo De Ti,"
 
 ラウ・アレハンドロ 
 ","
 

 Todo De Ti - Single


 "
2021-08-05 : 13,13,30 (feat. Bizzy Banks),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-05 : 14,14,Wants and Needs (feat. Lil Baby),"
 
 ドレイク 
 ","
 

 Scary Hours 2


 "
2021-08-05 : 15,15,Over the Top (feat. Drake),"
 
 Smiley 
 ","
 

 Over the Top (feat. Drake) - Single


 "
2021-08-05 : 16,16,2/Catorce,"
 
 ラウ・アレハンドロ、 Mr. Naisgai 
 ","
 

 2/Catorce - Single


 "
2021-08-05 : 17,17,Need To Know,"
 
 Doja Cat 
 ","
 

 Planet Her


 "
2021-08-05 : 18,18,Woo Baby (feat. Chris Brown),"
 
 ポップ・スモーク 
 ","
 

 Faith


 "
2021-08-05 : 19,19,Kiss Me More (feat. SZA),"
 
 Doja Cat 
 ","
 

 Kiss Me More (feat. SZA) - Single


 "
2021-08-05 : 2,2,GYALIS,"
 
 Capella Grey 
 ","
 

 GYALIS - Single


 "
2021-08-05 : 20,20,NOT SOBER (feat. Polo G & Stunna Gambino),"
 
 ザ・キッド・ラロイ 
 ","
 

 F*CK LOVE 3: OVER YOU


 "
2021-08-05 : 21,21,Late At Night,"
 
 ロディ・リッチ 
 ","
 

 Late At Night - Single


 "
2021-08-05 : 22,22,La Mamá de la Mamá (feat. El Cherry Scom),"
 
 El Alfa、 CJ、 Chael Produciendo 
 ","
 

 La Mamá de la Mamá (feat. El Cherry Scom) - Single


 "
